Nom;Adresse;TÈlÈphone;Site web;Zone;Trouble cognitif lÈger;Trouble cognitif sÈvËre;Bilanter;Orienter - Domicile;Orienter - Structures;Troubles du comportement|3;Pas díaidant, Èpuisement de líaidant|3;Maltraitance|3;Perte d'autonomie|2;Chute|2;DÈficit sensoriel gÈnants|1;Logement inadaptÈ|1;Faibles ressources Èconomiques|1;Isolement familial et gÈographique|1
Accueil de jour ChamaliËres : Les Savarounes ;1 r du Roc Blanc 63400 Chamalières;04 73 31 76 00 ;www.ehpad-les-savarounes.com;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Accueil de jour Clermont :  Le moulin ;11 rue saint James 63000 Clermont Ferrand;04 73 14 63 80;;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Accueil de jour Clermont : Le moulin ;11 rue saint James 63000 Clermont Ferrand;04 73 14 63 80;;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Accueil de jour Clermont : Les Hortencias ;3 rue berteaux 63000 Clermont Fd;04 73 23 67 50 ;;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Accueil de jour Clermont : RÈsidence Renouard ;1 rue renouard 63000 Clermont Ferrand;04 73 34 98 00;www.orpea.com;Clermont Ferrand;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Accueil de jour Clermont Les Hortencias ;3 rue berteaux 63000 Clermont Fd;04 73 23 67 50 ;;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Accueil de jour Clermont RÈsidence Renouard ;1 rue renouard 63000 Clermont Ferrand;04 73 34 98 00;www.orpea.com;Clermont Ferrand;0;1;0;1;0;0;1;0;0;0;0;0;0;0
Aides  domicile CCAS Romagnat;3 rue des four ‡ Chaux 63540 Romagnat;04 73 62 63 00;www.ville-romagnat.fr/centre_social.aspx;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Aigueperse;153 Grande Rue, 63260 Aigueperse;04 73 63 60 34;www.aigueperse.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Aigueperse;153 Grande Rue, 63260 Aigueperse;04 73 63 60 34;www.aigueperse.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Anzat le Luguet;Le Bourg 63420 Anzat-Le-Luguet;04 73 71 74 68;www.anzat-le-luguet.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Anzat le Luguet;Le Bourg 63420 Anzat-Le-Luguet;04 73 71 74 68;www.anzat-le-luguet.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Aulnat;32 bis rue de la rÈpublique 63510 Aulnat;04 73 61 06 77;www.ville-aulnat.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Aulnat;32 bis rue de la r_publique 63510 Aulnat;04 73 61 06 77;www.ville-aulnat.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Beaumont;21 rue RenÈ Brut 63 110 Beaumont;04 73 15 15 93;www.beaumont63.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Beaumont;21 rue RenÈ Brut 63 110 Beaumont;04 73 15 15 93;www.beaumont63.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Beau-regard-l'eveque;64  grande rue 63116 Beau-regard-l'eveque;04 73 68 16 03;www.beauregardleveque.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Beau-regard-l'eveque;64  grande rue 63116 Beau-regard-l'eveque;04 73 68 16 03;www.beauregardleveque.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Besse et saint Anastaise;3 route de du chambourguet  63610 Besse et saint anastaise;04 73 79 81 50;www.besse-superbesse.fr/fr/information/78897/ccas;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Besse et saint Anastaise;3 route de du chambourguet  63610 Besse et saint anastaise;04 73 79 81 50;www.besse-superbesse.fr/fr/information/78897/ccas;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Bourg Lastic;20 route de Clermont 63 048 Bourg Lastic;04 73 21 80 28;http://www.bourg-lastic.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Bourg Lastic;20 route de Clermont 63 048 Bourg Lastic;04 73 21 80 28;http://www.bourg-lastic.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Cebazat;Mairie, Cours des Perches 63118 Cebazat;04 73 16 30 3O;http://www.cebazat.fr/CCAS.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Cebazat;Mairie, Cours des Perches 63118 Cebazat;04 73 16 30 3O;http://www.cebazat.fr/CCAS.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS ChamaliËres;CCAS, 17 avenue de Royat 63400 Chamalières;04 73 19 57 64;www.ville-chamalieres.fr/-Centre-Communal-d-Action-Sociale,98-.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS ChamaliËres;CCAS, 17 avenue de Royat 63400 Chamalières;04 73 19 57 64;www.ville-chamalieres.fr/-Centre-Communal-d-Action-Sociale,98-.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Charensat;Le bourg,  63640 Charensat ;04 73 52 24 83;www.charensat.fr/;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Charensat;Le bourg,  63640 Charensat ;04 73 52 24 83;www.charensat.fr/;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Clermont Ferrand;1 rue saint vincent de Paul  63000 Clermont-Ferrand;04 73 98 07 98;www.clermont-ferrand.fr/2-le-ccas;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Clermont Ferrand;1 rue saint vincent de Paul  63000 Clermont-Ferrand;04 73 98 07 98;www.clermont-ferrand.fr/2-le-ccas;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Coeur de Combrailles;rue Etienne Maison 63390 Saint Gervais d'Auvergne;04 73 85 83 23;mairie-saintgervaisauvergne.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Coeur de Combrailles;rue Etienne Maison 63390 Saint Gervais d'Auvergne;04 73 85 83 23;mairie-saintgervaisauvergne.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Combronde;6 rue de l'hotel de Ville 63460 Combronde;04 73 97 10 25;acombronde.chez.com;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Combronde;6 rue de l'hotel de Ville 63460 Combronde;04 73 97 10 25;acombronde.chez.com;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Cournon d'Auvergne;Maison des citoyens, 15 impasse des DÙmes 63800 Cournon;04 73 84 68 79;www.cournon-auvergne.fr/Solidarite/Centre-Communal-d-Action-Sociale;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Cournon d'Auvergne;Maison des citoyens, 15 impasse des DÙmes 63800 Cournon;04 73 84 68 79;www.cournon-auvergne.fr/Solidarite/Centre-Communal-d-Action-Sociale;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS DURTOL;Mairie, Square Charles Sabourin 63830 Durtol;04 73 37 37 06;www.durtol.fr/ccas-durtol-puy-de-dome_fr.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS DURTOL;Mairie, Square Charles Sabourin 63830 Durtol;04 73 37 37 06;www.durtol.fr/ccas-durtol-puy-de-dome_fr.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Gerzat;place de la libertÈ 63360 Gerzat;04 73  23 55 46;www.ville-gerzat.fr/laction-sociale-a-gerzat;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Gerzat;place de la libertÈ 63360 Gerzat;04 73  23 55 46;www.ville-gerzat.fr/laction-sociale-a-gerzat;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Giat;Mairie rue de l'hotel de ville, 63620 GIAT;04 73 21 71 67;www.mairie-giat.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Giat;Mairie rue de l'hotel de ville, 63620 GIAT;04 73 21 71 67;www.mairie-giat.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS La Monnerie le Montel;avenue du stade, 63650 La monnerie-le-Montel;04 73 51 49 52;www.lamonnerie-lemontel.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS La Monnerie le Montel;avenue du stade, 63650 La monnerie-le-Montel;04 73 51 49 52;www.lamonnerie-lemontel.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS La Roche Blanche;1 rue de la mairie, 63670 La roche Blanche;04 73 79 40 09;www.mairie-larocheblanche.fr/social-sante-solidarite/ccas/;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS La Roche Blanche;1 rue de la mairie, 63670 La roche Blanche;04 73 79 40 09;www.mairie-larocheblanche.fr/social-sante-solidarite/ccas/;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Le Brueil sur Couze;2 Place de la Gare, 63340 Le Breuil-sur-Couze;04 73 71 61 09;www.lebreuilsurcouze.fr/fr/information/49917/action-sociale;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Le Brueil sur Couze;2 Place de la Gare, 63340 Le Breuil-sur-Couze;04 73 71 61 09;www.lebreuilsurcouze.fr/fr/information/49917/action-sociale;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Le cendre;5 Rue Maryse BastiÈ, 63670 Le Cendre;04 73 69 91 97;www.lecendre.fr/Centre-Communal-d-Action-Social.html;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Le cendre;5 Rue Maryse BastiÈ, 63670 Le Cendre;04 73 69 91 97;www.lecendre.fr/Centre-Communal-d-Action-Social.html;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Lempdes;3 rue de la rÈserve 63370 Lempdes;04 73 83 74 70;www.ville-lempdes.fr/seniors/;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Lempdes;3 rue de la rÈserve 63370 Lempdes;04 73 83 74 70;www.ville-lempdes.fr/seniors/;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Martres de Veyre;Place Alphonse-Quinsat, 63730 Les Martres-de-Veyre;04 73 39 90 75;www.mairie-lesmartresdeveyre.fr/fr/information/65043/ccas;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Martres de Veyre;Place Alphonse-Quinsat, 63730 Les Martres-de-Veyre;04 73 39 90 75;www.mairie-lesmartresdeveyre.fr/fr/information/65043/ccas;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Nohanent;Mairie, 2 Route de Durtol 63830 Nohanent; 04 73 62 80 21;;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Nohanent;Mairie, 2 Route de Durtol 63830 Nohanent; 04 73 62 80 21;;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Orcet;11 place Henri Romeuf, 63 670 Orcet;04 73 84 73 17;www.orcet.com/fr/information/65367/le-ccas;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Orcet;11 place Henri Romeuf, 63 670 Orcet;04 73 84 73 17;www.orcet.com/fr/information/65367/le-ccas;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Palladuc;Mairie, Le bourg  63550 Palladuc;04 73 94 32 41;www.commune-palladuc.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Palladuc;Mairie, Le bourg  63550 Palladuc;04 73 94 32 41;www.commune-palladuc.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Perignat sur Allier;3 place Onslow, 63800 Perignat sur allier;04 73 69 52 54;www.perignat-les-sarlieve.fr/fr/ccas.php;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Perignat sur Allier;3 place Onslow, 63800 Perignat sur allier;04 73 69 52 54;www.perignat-les-sarlieve.fr/fr/ccas.php;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Pont du Ch‚teau;place de l'hÙtel de ville  63430 Pont du Chateau;04 73 83 73 59;www.pontduchateau.fr/article/action-sociale;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Pont du Ch‚teau;place de l'hÙtel de ville  63430 Pont du Chateau;04 73 83 73 59;www.pontduchateau.fr/article/action-sociale;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Pontgibaud;5 rue du frËre Genestier, 63230 Pontgibaud;04 73 88 70 42;www.ccpsv.fr/page_id=63;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Pontgibaud;5 rue du frËre Genestier, 63230 Pontgibaud;04 73 88 70 42;www.ccpsv.fr/page_id=63;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Puy Guillaume;1 place Jean JaurËs BP 27 63290 Puy Guillaume;04 73 94 70 49;www.puy-guillaume.fr/fr/information/78880/centre-social-maison-roche;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Puy Guillaume;1 place Jean JaurËs BP 27 63290 Puy Guillaume;04 73 94 70 49;www.puy-guillaume.fr/fr/information/78880/centre-social-maison-roche;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Romagnat;3 rue des four ‡ Chaux 63540 Romagnat;04 73 62 63 00;www.ville-romagnat.fr/centre_social.aspx;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Royat;46 boulevard Barrieu 63130 Royat;04 73 29 50 83;www.royat.fr/fr/centre-communal-d-action-social-36.php;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Royat;46 boulevard Barrieu 63130 Royat;04 73 29 50 83;www.royat.fr/fr/centre-communal-d-action-social-36.php;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Amand Tallende;Place du Docteur Darteyre, 63450 Saint Amant Tallende;04 73  39 30 20;www.saintamanttallende.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Amand Tallende;Place du Docteur Darteyre, 63450 Saint Amant Tallende;04 73  39 30 20;www.saintamanttallende.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Antheme;Route de Montbrison 63319 Saint Antheme;04 73 95 40 20;www.saint-antheme.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Antheme;Route de Montbrison 63319 Saint Antheme;04 73 95 40 20;www.saint-antheme.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Diery;Saint Diery haut 63320 Saint Diery;04 73 96 30 09;www.cc-massifdusancy.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Diery;Saint Diery haut 63320 Saint Diery;04 73 96 30 09;www.cc-massifdusancy.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Eloy les mines;place Michel duval, 63700 Saint Eloy Les Mines;04 73 85 08 24;www.sainteloylesmines.com;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Eloy les mines;place Michel duval, 63700 Saint Eloy Les Mines;04 73 85 08 24;www.sainteloylesmines.com;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Remy sur durolle;13 rue de l'hÙtel de ville 63550 Saint Remy sur Durolle;04 73 94 30 10;www.saintremysurdurolle.fr/ccas;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Remy sur durolle;13 rue de l'hÙtel de ville 63550 Saint Remy sur Durolle;04 73 94 30 10;www.saintremysurdurolle.fr/ccas;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Sandoux;1 place de la mairie 63 450 Saint Sandoux;04 73 39 31 89;www.saint-sandoux.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Sandoux;1 place de la mairie 63 450 Saint Sandoux;04 73 39 31 89;www.saint-sandoux.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Saturnin;Mairie de saint Saturnin, 10 place du 8 mai 63450 Saint Saturnin;04 73 39 30 77;www.saint-saturnin63.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Saturnin;Mairie de saint Saturnin, 10 place du 8 mai 63450 Saint Saturnin;04 73 39 30 77;www.saint-saturnin63.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Sauves d'Auvergne;Le bourg, 63950 Saint Sauves d'Auvergne;04 73 81 00 62 ;www.saint-sauves-auvergne.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Saint Sauves d'Auvergne;Le bourg, 63950 Saint Sauves d'Auvergne;04 73 81 00 62 ;www.saint-sauves-auvergne.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Sayat;rue des mailleries 63530 Sayat;04 73 62 81 23;www.sayat.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Sayat;rue des mailleries 63530 Sayat;04 73 62 81 23;www.sayat.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Veyre Monton;26 rue Cheix Monton 63960 Veyre Monton;04 73 69 60 31;mairie-veyremonton.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CCAS Veyre Monton;26 rue Cheix Monton 63960 Veyre Monton;04 73 69 60 31;mairie-veyremonton.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CIAS de la montagne Thiernoise;Pont de selles,  63250 Celles sur durolle;04 73 51 89 93;www.celles-sur-durolle.fr/ccas/;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CIAS de la montagne Thiernoise;Pont de selles,  63250 Celles sur durolle;04 73 51 89 93;www.celles-sur-durolle.fr/ccas/;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile CIAS Pays de Menat;Le mont de Menat, 63560 Menat;04 73 85 52 53;www.menat.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile CIAS Pays de Menat;Le mont de Menat, 63560 Menat;04 73 85 52 53;www.menat.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile Clermont;;;www.pagesjaunes.fr/annuaire/departement/puy-de-dome-63/auxiliaire-de-vie;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile Clermont;;;www.pagesjaunes.fr/annuaire/departement/puy-de-dome-63/auxiliaire-de-vie;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD ARP;Avenue de la RÈpublique  63170 PÈrignat-lËs-SarliËve;04 73 62 07 42;www.ville-romagnat.fr/solidarite/senior/ehpad-les-tonnelles/;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD ARP;Avenue de la RÈpublique  63170 PÈrignat-lËs-SarliËve;04 73 62 07 42;www.ville-romagnat.fr/solidarite/senior/ehpad-les-tonnelles/;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Clermont-Ferrand;1 rue saint vincent de Paul  63000 Clermont-Ferrand;04 73 98 07 98;www.ville-chamalieres.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Clermont-Ferrand;1 rue saint vincent de Paul  63000 Clermont-Ferrand;04 73 98 07 98;www.ville-chamalieres.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD de ChamaliËres ;17 avenue de Royat 63400 Chamalières;04 73 19 57 64;www.ville-chamalieres.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD de ChamaliËres ;17 avenue de Royat 63400 Chamalières;04 73 19 57 64;www.ville-chamalieres.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD de l'ArtiËre;28 rue vercingetorix 63122 Ceyrat;04 73 61 46 87;www.beaumont63.fr/ssiad-cantonal-de-l-artiere-27;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD de l'ArtiËre;28 rue vercingetorix 63122 Ceyrat;04 73 61 46 87;www.beaumont63.fr/ssiad-cantonal-de-l-artiere-27;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD mutualitÈ Clermont-Ferrand;place du premier mai 63043 Clermont Ferrand Cedex 2;04 73 31 50 56;;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD mutualitÈ Clermont-Ferrand;place du premier mai 63043 Clermont Ferrand Cedex 2;04 73 31 50 56;;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Romagnat;3 place francois mitterrand 63 540 Romagnat;04 73 62 07 42;;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Romagnat;3 place francois mitterrand 63 540 Romagnat;04 73 62 07 42;;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Sohpem;63 rue Henri Barbuss 63000 Clermont Ferrand;04 73 98 00 85;www.sohpem.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Sohpem;63 rue Henri Barbuss 63000 Clermont Ferrand;04 73 98 00 85;www.sohpem.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Vivre ensemble;15 rue des farges 63118 Cebazat;04 73 14 36 20;ssiad1@sispa63.fr;Clermont Ferrand;1;0;0;1;0;1;1;1;1;1;1;0;0;1
Aides ‡ domicile SSIAD Vivre ensemble;15 rue des farges 63118 Cebazat;04 73 14 36 20;ssiad1@sispa63.fr;Clermont Ferrand;0;1;0;1;0;0;1;1;1;1;1;0;0;1
Assistante sociale CCAS Aigueperse;153 Grande Rue, 63260 Aigueperse;04 73 63 60 34;www.aigueperse.fr;Clermont Ferrand;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CCAS Aigueperse;153 Grande Rue, 63260 Aigueperse;04 73 63 60 34;www.aigueperse.fr;Clermont Ferrand;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale CCAS Anzat le Luguet;Le Bourg 63420 Anzat-Le-Luguet;04 73 71 74 68;www.anzat-le-luguet.fr;Clermont Ferrand;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CCAS Anzat le Luguet;Le Bourg 63420 Anzat-Le-Luguet;04 73 71 74 68;www.anzat-le-luguet.fr;Clermont Ferrand;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale CCAS Aulnat;32 bis rue de la rÈpublique 63510 Aulnat;04 73 61 06 77;www.ville-aulnat.fr;Clermont Ferrand;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CCAS Aulnat;32 bis rue de la rÈpublique 63510 Aulnat;04 73 61 06 77;www.ville-aulnat.fr;Clermont Ferrand;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale CCAS Beaumont;21 rue RenÈ Brut 63 110 Beaumont;04 73 15 15 93;www.beaumont63.fr;Clermont Ferrand;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CCAS Beaumont;21 rue RenÈ Brut 63 110 Beaumont;04 73 15 15 93;www.beaumont63.fr;Clermont Ferrand;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale CCAS Beau-regard-l'eveque;64  grande rue 63116 Beau-regard-l'eveque;04 73 68 16 03;www.beauregardleveque.fr;Clermont Ferrand;1;1;1;0;0;0;0;1;0;0;0;1;1;1
Assistante sociale CCAS Beau-regard-l'eveque;64  grande rue 63116 Beau-regard-l'eveque;04 73 68 16 03;www.beauregardleveque.fr;Clermont Ferrand;1;1;0;1;0;0;0;0;0;0;0;1;1;0
Assistante sociale CCAS Besse et saint Anastaise;3 route de du chambourguet  63610 Besse et saint anastaise;04 73 79 81 50;www.besse-superbesse.fr/fr/information/78897/ccas;Clermont Ferrand;1;1;1;0;0;0;0;1;0;0;0;1;1;1
